,Symbol,Description,Category2,Category3,GICSSector,MarketCap,DividendYield,Country,Action,InstrumentId
0,AAPL,Apple Inc,Common stocks,Large cap,Information Technology,"$2,336,425,290,660",0.62%,USA,Analyze,450dfc6d-5510-4d40-abfb-f633b7d9be3e
1,MSFT,Microsoft Corp,Common stocks,Large cap,Information Technology,"$1,811,287,884,529",1.02%,USA,Analyze,50810c35-d215-4866-9758-0ada4ac79ffa
2,GOOG,Alphabet Inc Class C,Common stocks,Large cap,Communication Services,"$1,134,222,240,000",0.00%,USA,Analyze,943c5009-a0bb-4665-8cf4-a95dab5874e4
3,GOOGL,Alphabet Inc Class A,Common stocks,Large cap,Communication Services,"$1,134,222,240,000",0.00%,USA,Analyze,54db869e-f7d5-45fb-88f1-8d7072d4c8b2
4,AMZN,Amazon.Com Inc.,Common stocks,Large cap,Consumer Discretionary,"$985,785,843,027",0.00%,USA,Analyze,c0bb3aec-bd1e-471e-a4f0-ca011cbec711
5,BRK.B,Berkshire Hathaway Inc. Class B,Common stocks,Large cap,Financials,"$667,907,122,674",0.00%,USA,Analyze,a4f0cca4-79dc-4297-9c02-5bce1909cd4b
6,TSLA,Tesla Inc,Common stocks,Large cap,Consumer Discretionary,"$597,615,406,982",0.00%,USA,Analyze,e39ed23a-7bd1-4587-b060-71988d9ef483
7,UNH,Unitedhealth Group Inc,Common stocks,Large cap,Health Care,"$508,444,735,054",1.13%,USA,Analyze,1abfbfc7-6c65-4ded-8a97-1e7f82220b64
8,JNJ,Johnson & Johnson,Common stocks,Large cap,Health Care,"$456,148,954,913",2.49%,USA,Analyze,fd0c2695-e591-4c28-bdf7-068895ae3b14
9,XOM,Exxon Mobil Corp,Common stocks,Large cap,Energy,"$455,071,423,021",2.37%,USA,Analyze,9133b38b-4917-4b5a-8eab-c029d60f9912
10,JPM,JP Morgan Chase & Co,Common stocks,Large cap,Financials,"$396,217,316,271",2.94%,USA,Analyze,43c1172a-9130-420a-ac9b-b01a6ff5dd54
11,NVDA,Nvidia Corp,Common stocks,Large cap,Information Technology,"$392,175,000,000",0.10%,USA,Analyze,a4ecd608-e7b4-4ff3-afa5-f77ae7632dfb
12,V,Visa Inc Class A,Common stocks,Large cap,Information Technology,"$388,612,523,772",0.76%,USA,Analyze,93495afe-b84b-4664-881c-b6361b0edeef
13,WMT,Walmart Stores Inc,Common stocks,Large cap,Consumer Staples,"$386,398,912,711",1.56%,USA,Analyze,ad1edbfb-19c8-4939-be66-1f09bd65b902
14,CVX,Chevron Corp,Common stocks,Large cap,Energy,"$350,568,668,390",3.05%,USA,Analyze,7a6a30e2-cf4d-40dd-8baa-0cea48de85e4
15,LLY,Eli Lilly,Common stocks,Large cap,Health Care,"$350,349,595,288",1.02%,USA,Analyze,25add190-d683-4983-808f-44edf7b58c93
16,PG,Procter & Gamble,Common stocks,Large cap,Consumer Staples,"$336,784,814,892",2.53%,USA,Analyze,1520c0c0-7b1f-4464-9b5e-800a2a3ce29f
17,MA,Mastercard Inc Class A,Common stocks,Large cap,Information Technology,"$321,689,151,638",0.46%,USA,Analyze,8373dfad-6a18-481e-a6da-b6d754fa7937
18,HD,Home Depot Inc,Common stocks,Large cap,Consumer Discretionary,"$319,095,532,283",2.34%,USA,Analyze,599dd133-44d3-4c1e-b992-eb08b7ab7faa
19,BAC,Bank of America Corp,Common stocks,Large cap,Financials,"$305,895,341,273",2.21%,USA,Analyze,0dd811b3-7047-448d-96e0-7bf6ee4cfe45
20,META,"Meta Platforms, Inc.",Common stocks,Large cap,Communication Services,"$300,930,300,000",0.00%,USA,Analyze,ebab2398-028d-4939-9f1d-13bf38f81c50
21,PFE,Pfizer Inc,Common stocks,Large cap,Health Care,"$265,913,228,710",3.34%,USA,Analyze,6ec6c70e-d686-4d73-b5a8-74fec96aca0e
22,ABBV,Abbvie Inc,Common stocks,Large cap,Health Care,"$264,776,901,658",3.71%,USA,Analyze,279e98b9-2e23-4cf2-90ed-c085ea472105
23,KO,Coca-Cola,Common stocks,Large cap,Consumer Staples,"$263,276,367,512",2.83%,USA,Analyze,bb9a01df-5982-42d4-88db-8662f23cdab5
24,MRK,Merck & Co Inc,Common stocks,Large cap,Health Care,"$258,331,495,791",2.68%,USA,Analyze,25055233-cdb6-4e80-99f2-13ed1ce5a30a
25,PEP,Pepsico Inc,Common stocks,Large cap,Consumer Staples,"$250,329,763,275",2.43%,USA,Analyze,376ca781-1333-40ca-bd61-a48f46ebd950
26,COST,Costco Wholesale Corp,Common stocks,Large cap,Consumer Staples,"$227,113,464,924",0.68%,USA,Analyze,ec89803c-c5e5-4df1-889c-da4f8cb6f8cd
27,ORCL,Oracle Corp,Common stocks,Large cap,Information Technology,"$208,063,154,529",1.65%,USA,Analyze,be5fb320-73c5-4f9e-a825-1c632bdd5f92
28,AVGO,Broadcom Inc.,Common stocks,Large cap,Information Technology,"$205,161,587,566",3.21%,USA,Analyze,698f04e6-1710-4f34-b7af-4a88fe5e47b3
29,TMO,Thermo Fisher Scientific Inc,Common stocks,Large cap,Health Care,"$204,169,163,063",0.22%,USA,Analyze,9b7ab2ce-b812-4497-b71a-a68d4b57e384
30,MCD,Mcdonalds Corp,Common stocks,Large cap,Consumer Discretionary,"$202,061,103,325",1.98%,USA,Analyze,41eac3c6-f7f7-4c4a-b696-ab9d1b913981
31,DHR,Danaher Corp,Common stocks,Large cap,Health Care,"$194,999,368,985",0.36%,USA,Analyze,32892812-5019-4694-91ca-1ba0c1f5c681
32,ACN,Accenture Plc Class A,Common stocks,Large cap,Information Technology,"$190,806,063,731",1.40%,USA,Analyze,ac6ddf2b-ef9e-4221-a1fe-fde5ceaa8f99
