"Symbol","Description","Category2","Category3","GICSSector","MarketCap","DividendYield","Country","Action"
"AAPL","Apple Inc","Common stocks","Large cap","Information Technology","$2,526,643,629,440","0.57%","USA","Analyze"
"MSFT","Microsoft Corp","Common stocks","Large cap","Information Technology","$1,950,014,987,772","0.95%","USA","Analyze"
"GOOG","Alphabet Inc Class C","Common stocks","Large cap","Communication Services","$1,321,578,570,000","0.00%","USA","Analyze"
"GOOGL","Alphabet Inc Class A","Common stocks","Large cap","Communication Services","$1,321,578,570,000","0.00%","USA","Analyze"
"AMZN","Amazon.Com Inc.","Common stocks","Large cap","Consumer Discretionary","$1,291,476,324,278","0.00%","USA","Analyze"
"TSLA","Tesla Inc","Common stocks","Large cap","Consumer Discretionary","$863,615,679,102","0.00%","USA","Analyze"
"BRK.B","Berkshire Hathaway Inc. Class B","Common stocks","Large cap","Financials","$618,109,065,288","0.00%","USA","Analyze"
"FB","Facebook Inc Class A","Common stocks","Large cap","Communication Services","$561,210,585,170","0.00%","USA","Analyze"
"UNH","Unitedhealth Group Inc","Common stocks","Large cap","Health Care","$485,772,302,784","1.15%","USA","Analyze"
"JNJ","Johnson & Johnson","Common stocks","Large cap","Health Care","$424,191,884,259","2.69%","USA","Analyze"
"XOM","Exxon Mobil Corp","Common stocks","Large cap","Energy","$398,384,353,439","3.63%","USA","Analyze"
"NVDA","Nvidia Corp","Common stocks","Large cap","Information Technology","$377,350,000,000","0.08%","USA","Analyze"
"META","Meta Platforms, Inc.","Common stocks","Large cap","Communication Services","$373,683,014,500","0.00%","USA","Analyze"
"WMT","Walmart Stores Inc","Common stocks","Large cap","Consumer Staples","$363,339,439,128","1.67%","USA","Analyze"
"JPM","JP Morgan Chase & Co","Common stocks","Large cap","Financials","$333,521,457,915","3.50%","USA","Analyze"
"PG","Procter & Gamble","Common stocks","Large cap","Consumer Staples","$329,055,796,616","2.56%","USA","Analyze"
"V","Visa Inc Class A","Common stocks","Large cap","Information Technology","$324,893,761,102","0.75%","USA","Analyze"
"MA","Mastercard Inc Class A","Common stocks","Large cap","Information Technology","$310,965,698,439","0.59%","USA","Analyze"
"CVX","Chevron Corp","Common stocks","Large cap","Energy","$310,558,414,855","3.50%","USA","Analyze"
"HD","Home Depot Inc","Common stocks","Large cap","Consumer Discretionary","$295,263,180,690","2.53%","USA","Analyze"
"LLY","Eli Lilly","Common stocks","Large cap","Health Care","$286,221,160,125","1.25%","USA","Analyze"
"BAC","Bank of America Corp","Common stocks","Large cap","Financials","$270,064,383,630","2.48%","USA","Analyze"
"KO","Coca-Cola","Common stocks","Large cap","Consumer Staples","$266,872,866,328","2.76%","USA","Analyze"
"PFE","Pfizer Inc","Common stocks","Large cap","Health Care","$253,846,672,321","3.47%","USA","Analyze"
